doc_n,date,title
2017107491.0,2018-10-24,УСТРОЙСТВО РУЛЕВОГО УПРАВЛЕНИЯ С УСИЛИТЕЛЕМ И СХЕМА УПРАВЛЕНИЯ ДЛЯ УСТРОЙСТВА РУЛЕВОГО УПРАВЛЕНИЯ С УСИЛИТЕЛЕМ
2016146438.0,2018-05-25,"УСТРОЙСТВО ДЛЯ КОНТРОЛЯ НЕЖЕЛАТЕЛЬНЫХ УГЛОВ ПОВОРОТА РУЛЕВОГО КОЛЕСА, ОБОРУДОВАННОГО ГИДРОУСИЛИТЕЛЕМ"
2017120786.0,2018-12-14,УСТРОЙСТВО ДЛЯ УКАЗАНИЯ СИГНАЛА ПОВОРОТА НА ОКНЕ МОТОРНОГО ТРАНСПОРТНОГО СРЕДСТВА
2017119159.0,2018-12-03,ДВУСТОРОННИЙ ГРУЗОВОЙ ПОЛ ДЛЯ МОТОРНОГО ТРАНСПОРТНОГО СРЕДСТВА
2016137598.0,2018-03-26,"ПЕРЕДНЯЯ КОНСТРУКЦИЯ ДЛЯ ТРАНСПОРТНОГО СРЕДСТВА И ТРАНСПОРТНОЕ СРЕДСТВО, СОДЕРЖАЩЕЕ ТАКУЮ КОНСТРУКЦИЮ"
2701081.0,2019-09-24,Педальный привод велосипеда
2016142281.0,2018-04-28,СИСТЕМА ПОМОЩИ ПРИ ПАРКОВКЕ НА ВОЗВЫШЕННОСТИ
2016129664.0,2018-01-24,СНЕГОХОДНОЕ ТРАНСПОРТНОЕ СРЕДСТВО
2017102473.0,2018-07-31,ТРАНСПОРТНОЕ СРЕДСТВО И РАМА ТРАНСПОРТНОГО СРЕДСТВА
2017101190.0,2018-07-18,УСТРОЙСТВО ВСПОМОГАТЕЛЬНОЙ РАМЫ ХОДОВОЙ ЧАСТИ ДЛЯ УЛУЧШЕНИЯ БЕЗОПАСНОСТИ ПРИ СТОЛКНОВЕНИИ
2017101658.0,2018-07-19,ТРАНСПОРТНОЕ СРЕДСТВО (ВАРИАНТЫ)
2017102726.0,2018-07-30,УЗЕЛ КАПОТА ТРАНСПОРТНОГО СРЕДСТВА С РАЗВЕРТЫВАЕМОЙ ЗАЩИТОЙ ПЕШЕХОДА
2017103105.0,2018-08-01,УЗЕЛ КАПОТА ТРАНСПОРТНОГО СРЕДСТВА С РАЗВЕРТЫВАЕМОЙ ЗАЩИТОЙ ПЕШЕХОДА
2017116750.0,2018-11-15,РУЛЕВОЕ КОЛЕСО С ОБНАРУЖЕНИЕМ ВОДИТЕЛЯ
2017109659.0,2018-09-24,ПРУЖИННЫЙ ДЕРЖАТЕЛЬ И СПОСОБ РАССЕИВАНИЯ КОНЦЕНТРАЦИИ НАПРЯЖЕНИЙ В НЕМ
2017118563.0,2018-11-30,МОДУЛЬ УПРАВЛЕНИЯ СОДЕЙСТВИЕМ ЗАДНЕМУ ХОДУ С ПРИЦЕПОМ ТРАНСПОРТНОГО СРЕДСТВА
2017116915.0,2018-11-19,Пневмомобиль
2016144723.0,2018-05-17,СИСТЕМА МЕДИЦИНСКОЙ ТЕЛЕЖКИ
2016152461.0,2018-06-28,СПОСОБ ПРОВЕРКИ МОМЕНТА ПРОБУКСОВКИ ФРИКЦИОНА ВЕНТИЛЯТОРА ТАНКА
2016136974.0,2018-03-20,УСИЛЕНИЕ ПОРОГА ТРАНСПОРТНОГО СРЕДСТВА
2017104976.0,2018-08-16,ЭЛЕМЕНТ ЖЕСТКОСТИ ПЕРЕДНЕЙ ЧАСТИ ТРАНСПОРТНОГО СРЕДСТВА ДЛЯ НИЖНЕЙ ЧАСТИ НОГ С ПОДПРУЖИНЕННОЙ БЛОКИРОВКОЙ И ОТПУСКАНИЕМ
2016132237.0,2018-02-08,ЭНЕРГОПОГЛОЩАЮЩИЙ КРОНШТЕЙН ДЛЯ ПЕРЕДАЧИ НАГРУЗКИ С ДОСТУПОМ К МЕСТУ СВАРКИ
2016130499.0,2018-01-30,Рулевой механизм переднеприводного автомобиля
2016150086.0,2018-06-20,СИСТЕМА УПРАВЛЕНИЯ ПОЛОЖЕНИЕМ РУЛЕВОГО КОЛЕСА ДЛЯ ТРАНСПОРТНОГО СРЕДСТВА (ВАРИАНТЫ) И СПОСОБ РАСПОЛОЖЕНИЯ РУЛЕВОГО КОЛЕСА
2016150394.0,2018-06-21,СИСТЕМА И СПОСОБ ПЕРПЕНДИКУЛЯРНОЙ ПАРКОВКИ ТРАНСПОРТНОГО СРЕДСТВА ЗАДНИМ ХОДОМ
2017119646.0,2018-12-06,УПРАВЛЕНИЕ РУЛЕВЫМ КОЛЕСОМ
2016148788.0,2018-06-14,МОТОЦИКЛ С БОКОВЫМ ПРИЦЕПОМ ДЛЯ ПЕРЕВОЗКИ ИНВАЛИДОВ-КОЛЯСОЧНИКОВ
2017117145.0,2018-11-19,УЗЕЛ ОПОРЫ ДЛЯ НОГИ ДЛЯ МОТОРНОГО ТРАНСПОРТНОГО СРЕДСТВА
2017117580.0,2018-11-22,УЗЕЛ РУЛЕВОГО КОЛЕСА
2017104040.0,2018-08-07,Педальный привод велосипеда
2701463.0,2019-09-26,ВЕЛОСИПЕДНОЕ СЕДЛО И ЗАПИРАЮЩЕЕ ПРИСПОСОБЛЕНИЕ
2016136490.0,2018-03-15,"ГРУЗОВОЙ ПОЛ (ВАРИАНТЫ), ТРАНСПОРТНОЕ СРЕДСТВО И СПОСОБ ОБРАЗОВАНИЯ ГРУЗОВОГО ПОЛА ТРАНСПОРТНОГО СРЕДСТВА"
2016126604.0,2018-01-12,ТРАК ГУСЕНИЧНОЙ ЦЕПИ КАРЬЕРНОГО ЭКСКАВАТОРА
2016145590.0,2018-05-23,ТРАНСПОРТНОЕ СРЕДСТВО И КУЗОВ ТРАНСПОРТНОГО СРЕДСТВА
2017115032.0,2018-10-29,ТЯГОВОЕ УСТРОЙСТВО
2016138075.0,2018-05-03,Элемент подвески и способ его изготовления
2016146329.0,2018-05-25,ИЗГОТОВЛЕНИЕ КОМПОНЕНТА ТРАНСПОРТНОГО СРЕДСТВА
2016144994.0,2018-05-17,СИСТЕМА ПОРТАТИВНОЙ МЕДИЦИНСКОЙ ТЕЛЕЖКИ
2016150303.0,2018-06-21,КОРИОЛИСОВЫЙ ДВИЖИТЕЛЬ
2017114639.0,2018-10-30,"УЗЕЛ РУЛЕВОГО КОЛЕСА И ТРАНСПОРТНОЕ СРЕДСТВО, СОДЕРЖАЩЕЕ ТАКОЙ УЗЕЛ РУЛЕВОГО КОЛЕСА"
2017106197.0,2018-08-20,АДАПТЕР РЕМНЯ БЕЗОПАСНОСТИ (варианты)
2018114353.0,2018-05-28,"УСТРОЙСТВО ДЛЯ ПЕРЕДВИЖЕНИЯ ПО ГРУНТОВОЙ, ЗЕМЛЯНОЙ, АСФАЛЬТОВОЙ, СНЕЖНОЙ, ЛЕДЯНОЙ И ВОДНОЙ ПОВЕРХНОСТИ"
2016142686.0,2018-05-03,РУЛЕВАЯ КОЛОНКА С РАЗЪЕДИНЯЮЩИМСЯ J-ОБРАЗНЫМ СКОЛЬЗЯЩИМ ВАЛОМ
2017106216.0,2018-08-28,"СИСТЕМА, ВКЛЮЧАЮЩАЯ В СЕБЯ КОЛЕСО И СМЕННУЮ ИЗНОСНУЮ НАКЛАДКУ"
2017112969.0,2018-11-02,"Транспортное средство, содержащее гусеничное устройство"
2017109064.0,2018-09-11,Быстросъёмная гусеничная приставка-прицеп для увеличения проходимости автомобиля
2017109069.0,2018-09-20,ТРАНСПОРТНОЕ СРЕДСТВО И УЗЕЛ РУЛЕВОГО КОЛЕСА (ВАРИАНТЫ)
2017113292.0,2018-10-17,МОТОКУЛЬТИВАТОР
2017110928.0,2018-10-03,УЗЕЛ ДЛЯ РАЗЪЕМНОГО СОЕДИНЕНИЯ ТРОСИКОВ
2016151612.0,2018-06-29,ВНУТРИТРУБНОЕ САМОХОДНОЕ ТРАНСПОРТНОЕ СРЕДСТВО
2016130123.0,2018-01-25,Легкий многоцелевой самолет
2016132732.0,2018-02-16,СПОСОБ ДИНАМИЧЕСКОГО ПОЗИЦИОНИРОВАНИЯ ДЛЯ ПРОВЕДЕНИЯ ПОДВОДНЫХ РАБОТ
2016129019.0,2018-01-18,Способ создания движущей или подъёмной силы в воздушной среде и движитель или активное крыло для осуществления этого способа
2016150045.0,2018-06-20,Надводный борт и верхняя палуба корабля
2016134189.0,2018-02-22,СПАСАТЕЛЬНАЯ ШЛЮПКА ЗАКРЫТОГО ТИПА ДЛЯ ЭВАКУАЦИИ И СПАСАНИЯ ПЕРСОНАЛА С МОРСКИХ ОБЪЕКТОВ В ЛЕДОВЫХ УСЛОВИЯХ
2016134347.0,2018-03-02,УНИВЕРСАЛЬНОЕ АРКТИЧЕСКОЕ СУДНО КЛАССА INF-2
2701297.0,2019-09-25,ДИРИЖАБЛЬ И СПОСОБ СБРОСА БАЛЛАСТА С НЕГО
2017102009.0,2018-07-24,СПОСОБ СОЗДАНИЯ И УПРАВЛЕНИЯ РЕАКТИВНОЙ ТЯГОЙ ГАЗОВОЙ СТРУИ
2016144260.0,2018-05-14,Модульный беспилотный самолёт (варианты)
2016137557.0,2018-05-03,ПОДВОДНЫЙ ТРАНСПОРТНЫЙ МОДУЛЬ
2017103196.0,2018-08-01,Бесконечная эластичная гусеница транспортного средства
2016135171.0,2018-03-01,СПАСАТЕЛЬНОЕ УСТРОЙСТВО ДЛЯ ЭВАКУАЦИИ ПЕРСОНАЛА МОРСКИХ НЕФТЕГАЗОВЫХ СООРУЖЕНИЙ В ЛЕДОВЫХ УСЛОВИЯХ
2017107569.0,2018-09-10,Способ и устройство для управленния самоуравновешивающимся транспортным средством
2017100472.0,2018-07-09,Газонаполненное транспортное средство
2015116923.0,2018-12-20,"СКОРОСТНАЯ ПАССАЖИРСКАЯ ТРАНСПОРТНАЯ СИСТЕМА ""БЕЗ ОСТАНОВОК"" СПТС БОСТ"
2017109957.0,2018-09-27,Модульный беспилотный летательный аппарат вертикального взлета и посадки и комплект для его сборки
2017113802.0,2018-10-23,Канатный комплекс для эвакуации людей с морского объекта на судно аварийно-спасательного обеспечения
2017116584.0,2018-11-13,СПОСОБ И УСТРОЙСТВО УПРАВЛЕНИЯ СИЛОЙ ГРАВИТАЦИИ ДЛЯ ПОДЪЁМНЫХ И ЛЕТАТЕЛЬНЫХ АППАРАТОВ
2018113205.0,2018-07-04,"ПЛАТФОРМА ДЛЯ ВЗЛЁТА И ПОСАДКИ САМОЛЁТА, САМОДВИЖУЩАЯСЯ ПО РЕЛЬСАМ"
2016149724.0,2018-06-18,КОНСТРУКТИВНЫЙ СПОСОБ СНИЖЕНИЯ МИКРОУСКОРЕНИЙ
2017120808.0,2018-12-14,САМОЛЁТ С НЕСУЩИМ ФЮЗЕЛЯЖЕМ
2016130538.0,2018-01-30,СКОРОСТНОЙ СИНХРОКОПТЕР-АМФИБИЯ
2017103791.0,2018-08-06,Воздухоплавательный аппарат
2017108388.0,2018-09-13,МУЛЬТИКОПТЕР
2017105964.0,2018-08-21,ПОЛУВАГОН С ГЛУХИМ КУЗОВОМ
2017101785.0,2018-07-19,ФРИКЦИОННЫЙ ПОГЛОЩАЮЩИЙ АППАРАТ
2016133458.0,2018-02-20,Гидроквадроплан
2016126368.0,2018-01-15,Легкий гидросамолет (самолет-амфибия)
2018117241.0,2018-09-27,Способ установки подледноподводных заводов сжиженного природного газа (СПГ) Абрамова В.А.
2017108772.0,2018-09-17,"МЕХАНИЗМ УПРАВЛЕНИЯ ПРИЦЕПОМ МНОГОСЕКЦИОННОГО СУХОПУТНОГО ТРАНСПОРТНОГО СРЕДСТВА НА КОЛЕСАХ, А ТАКЖЕ ТАКОЕ СУХОПУТНОЕ ТРАНСПОРТНОЕ СРЕДСТВО С СООТВЕТСТВУЮЩИМ МЕХАНИЗМОМ УПРАВЛЕНИЯ, А ТАКЖЕ СПОСОБ УПРАВЛЕНИЯ ПРИЦЕПОМ ТАКОГО СУХОПУТНОГО ТРАНСПОРТНОГО СРЕДСТВА, В ЧАСТНОСТИ, СОЧЛЕНЁННОГО АВТОБУСА"
2016140525.0,2018-04-25,"СИСТЕМА ДЛЯ ПЕРЕКАЧКИ ЖИДКОСТИ МЕЖДУ СУДНОМ И ПЛАВУЧИМ СООРУЖЕНИЕМ, НАПРИМЕР, СУДНОМ КЛИЕНТА"
2017110770.0,2018-10-01,Гибкий вкладыш для перевозки грузов в железнодорожных цистернах
2016148273.0,2018-06-13,Способ устранения вихреобразования на поверхности аэродрома под воздухозаборниками воздушного судна
2016127155.0,2018-01-15,ПОДВОДНАЯ ЛОДКА
2017122313.0,2018-12-24,СПОСОБ РАБОТЫ ВЕРТОЛЁТА И ЛЕТАТЕЛЬНЫЙ АППАРАТ ЯРИМОВА
2016149290.0,2018-06-15,Корпус плавучего сооружения U-образного поперечного сечения
2017116363.0,2018-11-13,Авиационная ракета - 3
2017145801.0,2018-08-10,САМОВСПЛЫВАЮЩАЯ ПОДВОДНАЯ БУРОВАЯ СИСТЕМА ДЛЯ БУРЕНИЯ ЛЬДА СНИЗУ ВВЕРХ И ВЫНОСА НА ПОВЕРХНОСТЬ ЛЬДА КОММУНИКАЦИОННЫХ АНТЕНН
2016128714.0,2018-01-18,"ТРАНСПОРТНОЕ УСТРОЙСТВО, СКЛАДНОЕ МЕЖДУ КОНФИГУРАЦИЕЙ ЛИЧНОГО ТРАНСПОРТЕРА И ВЕЛОСИПЕДНОЙ КОНФИГУРАЦИЕЙ"
2016148629.0,2018-06-14,МОРСКИЕ СЕЙСМОРАЗВЕДОЧНЫЕ РАБОТЫ С ИСПОЛЬЗОВАНИЕМ СУДНА ОБЕСПЕЧЕНИЯ
2017104279.0,2018-08-10,УСТРОЙСТВО ЧЕРНОГО ЯЩИКА С ПОЛОСКОВОЙ АНТЕННОЙ ДЛЯ ТРАНСПОРТНЫХ СРЕДСТВ И СПОСОБ ЕГО ЭКСПЛУАТАЦИИ
2016136142.0,2018-03-29,"УСТРОЙСТВО ДЛЯ СМЕНЫ И СПОСОБ СМЕНЫ ЗАЖИМНЫХ РАМ, НЕСУЩИХ КУЗОВНЫЕ ДЕТАЛИ, МЕЖДУ ПОДАЮЩИМ УСТРОЙСТВОМ ДЛЯ ЗАЖИМНЫХ РАМ И ТРАНСПОРТЕРОМ ДЛЯ РАМ С ИСПОЛЬЗОВАНИЕМ ПРИЕМНИКОВ ДЛЯ ЗАЖИМНЫХ РАМ"
2016137644.0,2018-03-27,МОТОРНОЕ ТРАНСПОРТНОЕ СРЕДСТВО (ВАРИАНТЫ) С ИНТЕГРИРОВАННЫМ ГИБРИДНЫМ ПОДКАТНЫМ ЛЕЖАКОМ МЕХАНИКА/ВСПОМОГАТЕЛЬНОЙ ТЕЛЕЖКОЙ
2016134755.0,2018-03-01,Гусеничный движитель транспортного средства
2016141651.0,2018-04-25,"СМЕННЫЙ ФИКСИРУЮЩИЙ ЯЗЫЧОК ДЛЯ ОБШИВКИ ПОТОЛКА, ОБШИВКА ПОТОЛКА ДЛЯ ТРАНСПОРТНОГО СРЕДСТВА И СПОСОБ РЕМОНТА ОБШИВКИ ПОТОЛКА В ТРАНСПОРТНОМ СРЕДСТВЕ"
2016140018.0,2018-04-13,РУЧНАЯ ТЕЛЕЖКА
2017102330.0,2018-07-31,ЗАЩИТНАЯ КРЫШКА ДЛЯ БЛОКА УПРАВЛЕНИЯ ТРАНСПОРТНОГО СРЕДСТВА И УСТРОЙСТВО ДЛЯ ЗАЩИТЫ БЛОКА УПРАВЛЕНИЯ ТРАНСПОРТНОГО СРЕДСТВА
2016127861.0,2018-01-16,Водонепроницаемая дверь или водонепроницаемое окно
2017103739.0,2018-08-06,"СИСТЕМА КРЕПЛЕНИЯ ПРИЦЕПА ДЛЯ ТРАНСПОРТНОГО СРЕДСТВА, СПОСОБ УПРАВЛЕНИЯ ДЛЯ СИСТЕМЫ БЕЗОПАСНОСТИ СЦЕПНОГО УСТРОЙСТВА ПРИЦЕПА И ТРАНСПОРТНОЕ СРЕДСТВО"
2016139374.0,2018-04-09,"ОБТЕКАТЕЛЬ, СНИЖАЮЩИЙ УРОВЕНЬ ВИХРЕВОЙ ВИБРАЦИИ"
2016130308.0,2018-01-30,Широкоуниверсальный способ и конструкция для перевозки различных грузов одним автопоездом
2016141303.0,2018-04-20,Индивидуальное транспортное средство
2017105605.0,2018-08-20,СИСТЕМА УПРАВЛЕНИЯ БОРТОПОВОРОТНЫМ ТРАНСПОРТНЫМ СРЕДСТВОМ
2017115937.0,2018-11-13,ПЛАВУЧАЯ ПЛАТФОРМА С ПОВОРАЧИВАЮЩЕЙСЯ ЮБКОЙ КИЛЕВОЙ ЧАСТИ
2016137178.0,2018-05-10,ОПОРНЫЙ КАТОК
2016145259.0,2018-05-18,Способ и устройство для безопасного вождения
2017101022.0,2018-07-16,СОЕДИНЕНИЕ ЭЛЕМЕНТА КОНСТРУКЦИИ АВТОТРАНСПОРТНОГО СРЕДСТВА И ФУНКЦИОНАЛЬНОГО ЭЛЕМЕНТА
2017101334.0,2018-07-16,ВЕЛОСИПЕДНОЕ СЕДЛО И ЗАПИРАЮЩЕЕ ПРИСПОСОБЛЕНИЕ
2017102419.0,2018-04-23,ВЕЗДЕХОДНОЕ АВТОТРАНСПОРТНОЕ СРЕДСТВО И ЕГО ПЕРЕДАТОЧНЫЙ МЕХАНИЗМ
2017105901.0,2018-08-28,РУЛЕВОЙ МЕХАНИЗМ С УСИЛИТЕЛЕМ И С ГАШЕНИЕМ ПУЛЬСАЦИЙ
2017107087.0,2018-10-01,ТОПЛИВНЫЙ БАК СНЕГОХОДА
2017110002.0,2018-09-28,НАДЕЖНОЕ СОЕДИНЕНИЕ УСИЛИТЕЛЬНЫХ ВСТАВОК ПРИ ПОМОЩИ ПОЛИМЕРНОГО МАТЕРИАЛА БЕЗ СВАРКИ ИЛИ ЗАВИНЧИВАНИЯ ВСТАВОК
2016135395.0,2018-03-01,САМОКАТ ДЛЯ ОЧЕНЬ МАЛЕНЬКИХ ДЕТЕЙ
2017110036.0,2018-10-01,"СОЕДИНЕНИЕ УСИЛИТЕЛЬНЫХ ВСТАВОК ПРИ ПОМОЩИ ПОЛИМЕРНОГО МАТЕРИАЛА ДЛЯ ПЕРЕДНЕЙ ТЕХНИЧЕСКОЙ СТОРОНЫ ТРАНСПОРТНОГО СРЕДСТВА, ПРИЧЕМ ЭТО СОЕДИНЕНИЕ УСИЛЕНО ЗА СЧЕТ СВОЕГО КРЕПЛЕНИЯ НА КОНСТРУКТИВНОМ ЭЛЕМЕНТЕ"
2017110075.0,2018-10-18,"СПОСОБ И УСТРОЙСТВО ДЛЯ КОНСТРУКЦИИ, ПОДВЕРЖЕННОЙ КАЧКЕ"
2017137295.0,2018-08-14,Способ реконфигурирования колеса и реконфигурируемое колесо для его осуществления
2016136972.0,2018-03-20,"КРЕПЕЖНЫЙ СОЕДИНИТЕЛЬНЫЙ УЗЕЛ ПАНЕЛИ ПРИБОРОВ ТРАНСПОРТНОГО СРЕДСТВА, ПАНЕЛЬ ПРИБОРОВ И ЩИТОК ПЕРЕДКА ТРАНСПОРТНОГО СРЕДСТВА В СБОРЕ И ТРАНСПОРТНОЕ СРЕДСТВО (ВАРИАНТЫ)"
2016132434.0,2018-02-13,Подвеска и гусеница для снегохода
2016140152.0,2018-04-16,"ГУСЕНИЧНЫЙ УЗЕЛ ТРАНСПОРТНОГО СРЕДСТВА, ИМЕЮЩИЙ СУЖАЮЩИЕСЯ КОЛЕСА"
2017109160.0,2018-09-20,ГУСЕНИЧНОЕ ТРАНСПОРТНОЕ СРЕДСТВО ГРАЖДАНСКОГО НАЗНАЧЕНИЯ
2017102761.0,2018-07-30,КОЖУХ ДЛЯ КОЛЕСНОЙ НИШИ ТРАНСПОРТНОГО СРЕДСТВА
2017112469.0,2018-10-11,"Устройство для автоматизации записей результатов натурного осмотра стрелочных переводов, глухих пересечений и башмакосбрасывателей"
2017110160.0,2018-10-01,БЕСПИЛОТНЫЙ ЛЕТАТЕЛЬНЫЙ АППАРАТ
2017113020.0,2018-12-28,СПОСОБ ПОДЪЁМА СУДОВ ИЗ ВОДЫ НА НАКЛОННОМ ЭЛЛИНГЕ
2017116866.0,2018-11-15,УСТРОЙСТВО СТАБИЛИЗАЦИИ ГЛУБИНЫ ПОГРУЖЕНИЯ ГЛУБОКОВОДНОГО ПРИБОРА
2017112271.0,2018-10-29,Способ формирования Русского Летающего Корабля - РЛК с управляемым гравитационным полем
2016134177.0,2018-03-02,Способ вертикального взлета и посадки тел тяжелее воздуха на основе торнадно-вихревой аэродинамики и устройство торнадолет для его осуществления
2017101199.0,2018-07-17,ОКЕАНОГРАФИЧЕСКАЯ ИНФОРМАЦИОННО-ИЗМЕРИТЕЛЬНАЯ СИСТЕМА
2016131498.0,2018-03-29,УПРАВЛЕНИЕ БЕСПИЛОТНЫМ ПОДВОДНЫМ ТРАНСПОРТНЫМ СРЕДСТВОМ ПОД ВОДОЙ
2016136060.0,2018-03-12,СПОСОБ ОПРЕДЕЛЕНИЯ ОЦЕНОК ЛЕТНО-ТЕХНИЧЕСКИХ ХАРАКТЕРИСТИК РАКЕТ ПО РЕЗУЛЬТАТАМ ПУСКОВ
2016134194.0,2018-02-27,"СПОСОБ УПРАВЛЕНИЯ КРЕНОМ ПОДВОДНОГО ПОДВИЖНОГО ОБЪЕКТА И СИСТЕМА УПРАВЛЕНИЯ, РЕАЛИЗУЮЩАЯ СПОСОБ"
2017116872.0,2018-11-15,РЕАКТИВНЫЙ ДЫМОВОЙ ПРИБОР
2016151942.0,2018-06-27,ТОРМОЗНАЯ КОЛОДКА ДИСКОВОГО ТОРМОЗА
2017116873.0,2018-11-15,Межотсечная переборка подводного технического средства
2016136461.0,2018-03-15,Способ регулирования подъемной силы летательного аппарата
2017116876.0,2018-11-15,СПОСОБ ЗАКРЕПЛЕНИЯ СУДОПОДЪЕМНЫХ ПОНТОНОВ К КОРПУСУ ЗАТОНУВШЕГО СУДНА
2017103869.0,2018-08-06,Способ и устройство каскадного демпфирования вагонов
2017119618.0,2018-12-06,СПОСОБ ОСВЕЩЕНИЯ ПОДВОДНОЙ ОБСТАНОВКИ
